Assignment;Start;end
*DEFAULT*;0800;1524
Forvagt dag, weekend;1500;0900
Forvagt aften/nat;1500;0830
Afd.vagt 1;1500;0830
ABV;1800;0845
Bagvagt aften/nat/weekend;0900;0900
Weekend, stuegang;0900;1400
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
